,Metric,Current_Comuna,Region,Codigo_region,Comuna,Codigo_comuna,Poblacion,Casos_incrementales,Casos_nuevos,Superficie_km2,IM_interno,IM_externo,IM,Fallecidos_totales,Fallecidos_nuevos,Positividad,Dosis_unica,Primera_dosis,Segunda_dosis,Tercera_dosis,Cuarta_dosis
564,n_unique_vals,Independencia,1,1,1,1,,,,,,,,,,,,,,,
565,total_samples,Independencia,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
566,non-nan_samples,Independencia,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
567,missing_samples,Independencia,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
568,min_date,Independencia,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
569,max_date,Independencia,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
570,n_unique_vals,Isla de Maipo,1,1,1,1,,,,,,,,,,,,,,,
571,total_samples,Isla de Maipo,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
572,non-nan_samples,Isla de Maipo,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
573,missing_samples,Isla de Maipo,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
574,min_date,Isla de Maipo,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
575,max_date,Isla de Maipo,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
576,n_unique_vals,La Cisterna,1,1,1,1,,,,,,,,,,,,,,,
577,total_samples,La Cisterna,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
578,non-nan_samples,La Cisterna,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
579,missing_samples,La Cisterna,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
